course_id,component,instance_url_id,instance_id,instance_section_num,keyword,document_frequency
2, mod_longpage,120, 1, 0,Prozesse,1.0
2, mod_longpage,120, 1, 1,Schicht Betriebssystem,34.0
2, mod_longpage,120, 1, 1,Bereichen Betriebssysteme,25.0
2, mod_longpage,120, 1, 1,Betriebssystems kennen,25.0
2, mod_longpage,120, 1, 1,Betriebssystem verwendet wiederum,24.0
2, mod_longpage,120, 1, 1,reales Betriebssystem,24.0
2, mod_longpage,120, 1, 1,konkreten Betriebssystems ersetzen5,23.0
2, mod_longpage,120, 1, 1,Betriebssystem trennt,22.0
2, mod_longpage,120, 1, 1,Betriebssystemen beginnen,22.0
2, mod_longpage,120, 1, 1,Betriebssystem,21.0
2, mod_longpage,120, 1, 1,Betriebssysteme,21.0
2, mod_longpage,120, 1, 1,Betriebssystemen,21.0
2, mod_longpage,120, 1, 1,Betriebssystems,21.0
2, mod_longpage,120, 1, 1,liegenden Schicht zugreifen,17.0
2, mod_longpage,120, 1, 1,liegenden Schicht,16.0
2, mod_longpage,120, 1, 1,Schicht bietet,15.0
2, mod_longpage,120, 1, 1,benachbarten Schichten,14.0
2, mod_longpage,120, 1, 1,mehreren Schichten,14.0
2, mod_longpage,120, 1, 1,oberste Schicht,14.0
2, mod_longpage,120, 1, 1,unterste Schicht,14.0
2, mod_longpage,120, 1, 1,Schicht,13.0
2, mod_longpage,120, 1, 1,Schichten,13.0
2, mod_longpage,120, 1, 1,Hardware ermöglicht,12.0
2, mod_longpage,120, 1, 1,normalen Benutzer gestartet,12.0
2, mod_longpage,120, 1, 1,Computern ausgeführt,11.0
2, mod_longpage,120, 1, 1,Hardware bietet,11.0
2, mod_longpage,120, 1, 1,Hardware bildete,11.0
2, mod_longpage,120, 1, 1,Informatik beschäftigt,11.0
2, mod_longpage,120, 1, 1,Technischen Informatik,11.0
2, mod_longpage,120, 1, 1,modernen Computer übernimmt,11.0
2, mod_longpage,120, 1, 1,Computern liegt,10.0
2, mod_longpage,120, 1, 1,beteiligten Computer,10.0
2, mod_longpage,120, 1, 1,private Benutzer,10.0
2, mod_longpage,120, 1, 1,Benutzer Programmierer,9.0
2, mod_longpage,120, 1, 1,Benutzer sieht,9.0
2, mod_longpage,120, 1, 1,Computer,9.0
2, mod_longpage,120, 1, 1,Hardware,9.0
2, mod_longpage,120, 1, 1,Informatik Gegenstand,9.0
2, mod_longpage,120, 1, 1,Informatik studiert,9.0
2, mod_longpage,120, 1, 1,reiner Benutzer,9.0
2, mod_longpage,120, 1, 1,Benutzer,8.0
2, mod_longpage,120, 1, 1,Benutzern,8.0
2, mod_longpage,120, 1, 1,Informatik,8.0
2, mod_longpage,120, 1, 1,technischen Zusammenhänge kennen,8.0
2, mod_longpage,120, 1, 1,Menge,7.0
2, mod_longpage,120, 1, 1,besonderen Programmen,7.0
